2003-2012 CH4  budget per category - ALL studies;;;;;
                          proc;stats;Fossil;Agriwast;BioBurBiof;OtherNat
Coal; mean;41;0;0;0
Coal;  min;26;0;0;0
Coal;  max;50;0;0;0
GasAndOilIndustry; mean;79;0;0;0
GasAndOilIndustry;  min;69;0;0;0
GasAndOilIndustry;  max;88;0;0;0
EntericFermentationAndManure; mean;0;106;0;0
EntericFermentationAndManure;  min;0;97;0;0
EntericFermentationAndManure;  max;0;111;0;0
LandfillsAndWaste; mean;0;59;0;0
LandfillsAndWaste;  min;0;52;0;0
LandfillsAndWaste;  max;0;63;0;0
Rice; mean;0;30;0;0
Rice;  min;0;24;0;0
Rice;  max;0;36;0;0
BiomassBurning; mean;0;0;18;0
BiomassBurning;  min;0;0;15;0
BiomassBurning;  max;0;0;21;0
BiofuelBurning; mean;0;0;12;0
BiofuelBurning;  min;0;0;10;0
BiofuelBurning;  max;0;0;14;0
Freshwater; mean;0;0;0;122
Freshwater;  min;0;0;0;60
Freshwater;  max;0;0;0;180
GeologicalSources; mean;0;0;0;52
GeologicalSources;  min;0;0;0;-999
GeologicalSources;  max;0;0;0;-1000
WildAnimals; mean;0;0;0;10
WildAnimals;  min;0;0;0;5
WildAnimals;  max;0;0;0;15
Termites; mean;0;0;0;9
Termites;  min;0;0;0;3
Termites;  max;0;0;0;15
PermafrostAndHydrates; mean;0;0;0;3
PermafrostAndHydrates;  min;0;0;0;-888
PermafrostAndHydrates;  max;0;0;0;-889
Wildfires; mean;0;0;0;3
Wildfires;  min;0;0;0;1
Wildfires;  max;0;0;0;5
